Student Name,Age,Department,Gender,Total Marks,Obtained Marks,Address,Blood Group,Weight,,,
Aslam,24,AI,Male,100,100,Faisalabad,B+,60,,,
Anas,24,Data Science,Male,100,98,Bahawalpur,B-,55,,,
Ahmad,14,IT,Male,100,98,Khanewal,B+,50,,,
Aqsa,20,IT,Female,100,97,Bahawalpur,A-,75,,,
Aqsa,18,CS,Female,100,97,Khanewal,O-,68,,,
Siraj,25,CS,Male,100,96,Islamabad,B+,60,,,Grade
Fatima,18,AI,Female,100,95,Karachi,A+,70,,,A
Arslan,24,CS,Male,100,93,Khanewal,O-,68,,,B
Aqsa,22,IT,Female,100,92,Khanewal,AB+,65,,,C
Naseem,18,Data Science,Male,100,92,Okara,A-,75,,,
Aiman,25,CS,Female,100,91,Okara,B-,55,,,
Rehman,20,CS,Male,100,90,Multan,AB-,85,,,
Nazir,20,CS,Male,100,89,Lahore,O+,65,,,
Samra,23,AI,Female,100,89,Islamabad,AB+,80,,,
Rida,24,Software Engineering,Female,100,88,Multan,A+,70,,,
Kiran,20,Software Engineering,Female,100,88,Faisalabad,A-,75,,,
Zubair,18,Data Science,Male,100,86,Faisalabad,AB+,80,,,
Asma,18,Data Science,Female,100,86,Bahawalpur,A+,70,,,
Waseem,23,Data Science,Male,100,85,Islamabad,AB+,80,,,
Sadiq,24,IT,Male,100,85,Islamabad,A+,70,,,
Nida,24,Software Engineering,Female,100,83,Islamabad,A+,70,,,
Aslam,20,Cyber Security,Male,100,81,Islamabad,B+,60,,,
Talha,20,IT,Male,100,79,Bahawalpur,B+,60,,,
Waseem,23,IT,Male,100,79,Karachi,O-,68,,,
Sadiq,23,Cyber Security,Male,100,77,Karachi,A+,70,,,
Amir,24,Software Engineering,Male,100,76,Faisalabad,AB+,80,,,
Aqsa,22,AI,Female,100,75,Karachi,B-,55,,,
Parveen,21,Software Engineering,Female,100,74,Islamabad,O-,68,,,
Bismah,21,IT,Female,100,72,Islamabad,A-,75,,,
Arham,21,IT,Male,100,71,Islamabad,O+,65,,,
Rizwan,24,Cyber Security,Male,100,71,Multan,A-,75,,,
Shahid,24,CS,Male,100,69,Faisalabad,O+,65,,,
Naseem,24,Cyber Security,Male,100,67,Lahore,B+,60,,,
Aqib,20,Cyber Security,Male,100,67,Lahore,A-,75,,,
Aqib,19,IT,Male,100,67,Islamabad,B-,55,,,
Sadia,20,CS,Female,100,67,Lahore,B-,55,,,
Ahsan,21,Data Science,Male,100,66,Faisalabad,B+,60,,,
Asia,19,AI,Female,100,66,Okara,O+,65,,,
Tariq,20,Data Science,Male,100,63,Lahore,AB-,85,,,
Alia,25,Software Engineering,Female,100,62,Multan,AB-,85,,,
Bashir,21,IT,Male,100,62,Lahore,O-,68,,,
Hasan,24,Software Engineering,Male,100,61,Lahore,AB-,85,,,
Hamza,18,Cyber Security,Male,100,61,Karachi,AB-,85,,,
Rizwan,24,AI,Male,100,60,Islamabad,O+,65,,,
Sharma,23,Software Engineering,Male,100,59,Okara,AB+,80,,,
Nasreen,21,Data Science,Female,100,57,Faisalabad,A+,70,,,
Areeha,23,CS,Female,100,57,Islamabad,B-,55,,,
Nimra,18,Data Science,Female,100,57,Lahore,O-,68,,,
Shahid,18,AI,Male,100,54,Islamabad,B+,60,,,
Khizar,24,IT,Male,100,52,Okara,AB-,85,,,
Khizar,18,Data Science,Male,100,50,Multan,O+,65,,,
